Date,US_10Y_Yield_Actual,US_10Y_Yield,AAA_Bond_Yield_Actual,AAA_Bond_Yield,BAA_Bond_Yield_Actual,BAA_Bond_Yield,Junk_Bond_Yield_Actual,Junk_Bond_Yield
2021-12-01,4.331166908788822,2.4560484082649423,5.112458098955991,3.679644045986055,5.75131024852163,4.749531688927815,3.095689243960613,4.852802211162171
2022-01-01,4.293394212868412,2.464392828312421,5.085599873931231,3.681176035931453,5.723475282693197,4.741156350151606,3.302301694610779,4.8074191754702404
2022-02-01,4.25665295656881,2.4642743605457933,5.059408353951254,3.6811699500482455,5.696469634935874,4.742038026031988,3.4629732525832027,4.800668516409079
2022-03-01,4.220914974897673,2.4642760424615706,5.033866989314199,3.6811699742246278,5.670268596454711,4.741945211594409,3.5879190119508038,4.79966436591396
2022-04-01,4.186152871949648,2.464276018583002,5.0089596411335,3.681169974128586,5.644848194631346,4.741954982214219,3.6850827102490795,4.799515000021281
2022-05-01,4.15233999990531,2.464276018922012,4.984670571140171,3.6811699741289674,5.620185171090279,4.741953953656443,3.760641771355129,4.799492782066896
2022-06-01,4.119450438603561,2.464276018917199,4.960984431738225,3.681169974128966,5.59625696041864,4.741954061933208,3.819400050580993,4.799489477179226
2022-07-01,4.087458975671837,2.464276018917267,4.93788625630695,3.681169974128966,5.57304166951998,4.741954050534861,3.865093251727827,4.799488985582101
2022-08-01,4.056341087198895,2.4642760189172663,4.915361449743913,3.681169974128966,5.550518057583204,4.741954051734771,3.900626433750046,4.799488912457759
2022-09-01,4.0260729189353475,2.4642760189172663,4.893395779242718,3.681169974128966,5.528665516648311,4.741954051608456,3.928258707106575,4.799488901580622
2022-10-01,3.996631268007551,2.4642760189172663,4.87197536529968,3.681169974128966,5.507464052751149,4.741954051621753,3.9497468623292757,4.799488899962664
2022-11-01,3.9679935651308265,2.4642760189172663,4.8510866729437545,3.681169974128966,5.486894267629965,4.741954051620353,3.96645706235217,4.799488899721995
2022-12-01,3.940137857308366,2.4642760189172663,4.830716503184159,3.681169974128966,5.4669373409769735,4.7419540516205005,3.9794516997191853,4.799488899686196
2023-01-01,3.913042791002579,2.4642760189172663,4.810851984670292,3.681169974128966,5.447575013218738,4.741954051620485,3.9895569408335274,4.799488899680871
2023-02-01,3.886687595765965,2.4642760189172663,4.791480565558684,3.681169974128966,5.428789568809582,4.741954051620486,3.997415251542389,4.799488899680079
2023-03-01,3.8610520683189753,2.4642760189172663,4.772590005581826,3.681169974128966,5.410563820022772,4.741954051620486,4.003526243501736,4.799488899679961
2023-04-01,3.8361165570626445,2.4642760189172663,4.754168368313887,3.681169974128966,5.392881091224618,4.741954051620486,4.008278438230445,4.799488899679943
2023-05-01,3.811861947014135,2.4642760189172663,4.736204013628412,3.681169974128966,5.375725203617117,4.741954051620486,4.011973968332562,4.799488899679941
2023-06-01,3.7882696451536355,2.4642760189172663,4.718685590343247,3.681169974128966,5.359080460435175,4.741954051620486,4.014847786329361,4.7994888996799405
2023-07-01,3.765321566171383,2.4642760189172663,4.7016020290480345,3.681169974128966,5.342931632584864,4.741954051620486,4.017082602350476,4.7994888996799405
2023-08-01,3.743000118603885,2.4642760189172663,4.684942535109764,3.681169974128966,5.327263944709577,4.741954051620486,4.018820500385006,4.7994888996799405
2023-09-01,3.7212881913487155,2.4642760189172663,4.668696581851936,3.681169974128966,5.312063061671326,4.741954051620486,4.020171971624646,4.7994888996799405
2023-10-01,3.7001691405475405,2.4642760189172663,4.652853903903044,3.681169974128966,5.297315075434823,4.741954051620486,4.021222939216117,4.7994888996799405
2023-11-01,3.6796267768273214,2.4642760189172663,4.6374044907101695,3.681169974128966,5.283006492342329,4.741954051620486,4.0220402210390125,4.7994888996799405
2023-12-01,3.659645352889921,2.4642760189172663,4.6223385802135875,3.681169974128966,5.269124220767647,4.741954051620486,4.022675777818741,4.7994888996799405
2024-01-01,3.6402095514405906,2.4642760189172663,4.607646652678393,3.681169974128966,5.255655559137949,4.741954051620486,4.023170016658936,4.7994888996799405
2024-02-01,3.621304473446087,2.4642760189172663,4.593319424679235,3.681169974128966,5.242588184312482,4.741954051620486,4.0235543600236,4.7994888996799405
2024-03-01,3.6029156267134206,2.4642760189172663,4.579347843234383,3.681169974128966,5.2299101403075205,4.741954051620486,4.023853243498447,4.7994888996799405
2024-04-01,3.5850289147804784,2.4642760189172663,4.565723080085391,3.681169974128966,5.217609827357248,4.741954051620486,4.024085669344057,4.7994888996799405
2024-05-01,3.5676306261100033,2.4642760189172663,4.552436526118765,3.681169974128966,5.205675991300565,4.741954051620486,4.0242664146118745,4.7994888996799405
2024-06-01,3.5507074235786478,2.4642760189172663,4.539479785926101,3.681169974128966,5.194097713284098,4.741954051620486,4.024406970632023,4.7994888996799405
2024-07-01,3.534246334253048,2.4642760189172663,4.526844672499259,3.681169974128966,5.182864399772009,4.741954051620486,4.024516273603206,4.7994888996799405
2024-08-01,3.518234739445071,2.4642760189172663,4.514523202057212,3.681169974128966,5.171965772853445,4.741954051620486,4.02460127273378,4.7994888996799405
2024-09-01,3.5026603650386265,2.4642760189172663,4.502507589001322,3.681169974128966,5.1613918608387745,4.741954051620486,4.024667372054962,4.7994888996799405
2024-10-01,3.487511272080611,2.4642760189172663,4.490790240995828,3.681169974128966,5.151132989135996,4.741954051620486,4.02471877399556,4.7994888996799405
2024-11-01,3.472775847628786,2.4642760189172663,4.479363754170459,3.681169974128966,5.141179771398979,4.741954051620486,4.024758746561844,4.7994888996799405
